Time	R1P5WFSIMES	R1P5WFSQMES	R1P5WFSGMES	R1P5WFSPMES	R1P5WFSIASK	R1P5WFSQASK	R1P5WFSGASK	R1P5WFSPASK	R1P5WFSCRFP	R1P5WFSCRFPP	R1P5WFSCRRP	R1P5WFSCRRPP	R1P5WFSGLDE	R1P5WFSPLDE	R1P5WFSDETA2	R1P5WFSCFQE2	R1P5WFSDFQES
-97.9497	13341	14697	14.9968	47.7521	-3424	4775	1.73279	112.242	1.3178	-69.4061	1.25254	-167.206	0.00025175	0.0494385	9.4812	4.12551	0
-97.8997	13340	14700	14.995	47.774	-1886	5871	1.83777	106.199	1.26806	-72.5372	1.31536	-163.548	5.03499e-05	0.0494385	10.0635	4.38401	0
-97.8497	13337	14697	14.9898	47.7521	-2270	5549	1.9278	115.093	1.32803	-75.1685	1.23836	-162.889	0.00025175	0.0604248	9.40979	4.09387	0
-97.7997	13342	14697	14.9902	47.7686	-2499	6033	2.01233	111.39	1.45132	-69.3347	1.18593	-169.969	0.0001007	0.0714111	10.2887	4.48424	0
-97.7497	13341	14701	14.9946	47.7631	-2327	4842	1.8222	108.309	1.33779	-62.7539	1.29003	-168.668	0.00015105	0.0274658	10.5469	4.59931	0
-97.6997	13346	14700	14.9955	47.774	-2655	5323	1.875	106.902	1.38396	-69.5764	1.1687	-166.899	5.03499e-05	0.0494385	9.73938	4.24002	0
-97.6497	13340	14698	14.9924	47.774	-2181	5753	1.91895	108.479	1.32875	-75.097	1.249	-163.784	5.03499e-05	0.0494385	9.61853	4.1864	0
-97.5997	13339	14696	14.9907	47.774	-2082	5756	1.95679	109.094	1.49606	-64.6765	1.15781	-173.364	5.03499e-05	0.065918	10.8655	4.74159	0
-97.5497	13339	14701	14.9968	47.7631	-1769	5576	1.69678	108.353	1.30019	-66.2695	1.29054	-169.107	0.00015105	0.032959	10.7446	4.68759	0
-97.4997	13338	14697	14.9911	47.796	-2225	6449	2.18597	102.53	1.44941	-68.302	1.12995	-170.53	-0.00015105	0.0604248	10.1898	4.44022	0
-97.4497	13341	14697	14.9941	47.7576	-2847	5209	1.83838	110.138	1.31589	-69.1809	1.32549	-170.81	0.0002014	0.0549316	10.3107	4.49402	0
-97.3997	13347	14698	14.9968	47.7466	-1660	5481	1.62659	111.264	1.4744	-68.6755	1.13527	-167.267	0.0003021	0.0109863	10.4095	4.53808	0
-97.3497	13341	14708	14.9989	47.774	-1839	5073	1.68976	102.068	1.39443	-64.2535	1.22645	-170.332	5.03499e-05	0.00549316	10.5304	4.59196	0
-97.2997	13347	14694	14.9915	47.774	-2485	5837	1.96472	109.962	1.30852	-64.3414	1.26673	-170.381	5.03499e-05	0.065918	9.90967	4.31564	0
-97.2497	13342	14703	14.9985	47.7795	-1474	5692	1.79474	104.524	1.3842	-62.9132	1.19251	-170.222	0	0.0109863	9.65149	4.20102	0
-97.1997	13344	14699	14.9959	47.7576	-2879	4590	1.69586	112.308	1.29471	-66.1597	1.32727	-167.135	0.0002014	0.032959	10.3052	4.49158	0
-97.1497	13350	14697	14.9959	47.774	-1741	5663	1.80817	107.089	1.37325	-73.8995	1.17098	-162.669	5.03499e-05	0.032959	9.89868	4.31076	0
-97.0997	13343	14697	14.9933	47.7521	-2334	5529	1.85272	114.675	1.3623	-68.1482	1.23735	-168.426	0.00025175	0.0494385	10.5304	4.59196	0
-97.0497	13342	14703	15.0011	47.7246	-2074	4542	1.46362	118.048	1.36802	-69.0106	1.2072	-166.047	0.000503499	0.00549316	9.91516	4.31808	0
-96.9997	13341	14701	14.9937	47.7631	-1746	5762	1.84052	110.797	1.30495	-64.4513	1.27002	-170.376	0.00015105	0.0384521	10.5634	4.60667	0
-96.9497	13350	14698	14.9968	47.7356	-2666	4407	1.67145	115.961	1.26472	-66.3135	1.25862	-168.091	0.000402799	0.0219727	9.75037	4.24489	0
-96.8997	13347	14699	14.9955	47.7631	-2117	5241	1.82343	108.951	1.27305	-65.0281	1.2918	-168.739	0.00015105	0.032959	9.27795	4.03549	0
-96.8497	13337	14705	14.9968	47.7795	-2193	4837	1.75354	111.693	1.44703	-66.72	1.23963	-170.585	0	0.0274658	11.7114	5.12086	0
-96.7997	13345	14703	15.0015	47.7795	-1285	4793	1.74042	100.475	1.27258	-76.7615	1.17681	-158.917	0	-0.0164795	8.02551	3.48298	0
-96.7497	13350	14693	14.9928	47.7466	-2056	5847	1.84174	113.78	1.20998	-63.3472	1.39059	-171.37	0.0003021	0.0549316	8.90442	3.87032	0
-96.6997	13350	14696	14.9989	47.7411	-2680	4605	1.57104	112.703	1.34802	-74.8993	1.21835	-162.719	0.00035245	0.0219727	9.53064	4.14742	0
-96.6497	13346	14706	14.9994	47.774	-1806	5059	1.77917	107.32	1.46631	-74.9048	1.0564	-161.84	5.03499e-05	0.0274658	9.01978	3.92129	0
-96.5996	13348	14691	14.9972	47.7466	-1723	5364	1.66748	112.643	1.27377	-67.8406	1.27458	-166.8	0.0003021	0.0219727	9.69543	4.22051	0
-96.5496	13339	14700	14.995	47.7631	-2524	5323	1.73492	112.939	1.21427	-69.3182	1.35462	-165.855	0.00015105	0.0384521	9.06921	3.94315	0
-96.4996	13343	14703	14.9963	47.7795	-1683	6369	1.90948	103.552	1.58983	-73.3392	1.00267	-167.322	0	0.0494385	9.2395	4.01847	0
-96.4496	13345	14699	14.9976	47.774	-1423	5379	1.81427	103.101	1.22284	-72.7185	1.35513	-163.114	5.03499e-05	0.00549316	8.95386	3.89216	0
-96.3996	13336	14710	14.9981	47.774	-1618	5272	1.75415	103.436	1.21689	-66.8903	1.35918	-169.091	5.03499e-05	0.0109863	9.12415	3.96744	0
-96.3496	13351	14689	14.9933	47.774	-2490	6418	1.89117	109.358	1.35064	-68.2855	1.27914	-167.975	5.03499e-05	0.065918	9.85474	4.29123	0
-96.2996	13338	14707	14.9968	47.7631	-1929	5453	1.71967	107.809	1.44751	-68.5492	1.12412	-167.009	0.00015105	0.032959	9.77783	4.25708	0
-96.2496	13343	14695	14.995	47.7466	-2517	5218	1.71722	114.241	1.22712	-64.9292	1.29332	-169.541	0.0003021	0.0384521	8.46497	3.67643	0
-96.1996	13337	14700	14.9955	47.7466	-2265	5358	1.71021	115.862	1.37111	-69.7961	1.21632	-166.465	0.0003021	0.0384521	9.65149	4.20102	0
-96.1496	13340	14700	14.9928	47.7631	-1584	5697	1.90948	110.533	1.32351	-63.8196	1.32676	-172.04	0.00015105	0.0384521	9.9646	4.34005	0
-96.0996	13348	14702	15.0002	47.774	-2135	4862	1.64886	105.595	1.29114	-73.6578	1.21227	-162.301	5.03499e-05	0	8.95935	3.89459	0
-96.0496	13343	14697	14.9933	47.774	-1754	5188	1.87775	106.957	1.25116	-68.3405	1.31156	-166.157	5.03499e-05	0.0164795	9.05823	3.93829	0
-95.9996	13344	14707	14.9968	47.7631	-2147	5062	1.70807	109.396	1.35516	-72.2461	1.18162	-164.009	0.00015105	0.0219727	8.94287	3.88731	0
-95.9496	13336	14704	14.9994	47.7466	-1727	4786	1.58234	109.539	1.37849	-75.4047	1.19555	-160.51	0.0003021	-0.0109863	9.60205	4.17909	0
-95.8996	13345	14699	14.9933	47.7686	-1570	5497	1.922	108.523	1.33589	-67.4451	1.23557	-168.613	0.0001007	0.0494385	9.95361	4.33516	0
-95.8496	13342	14703	14.9968	47.7466	-1727	4786	1.64886	113.329	1.32422	-74.0533	1.14692	-162.4	0.0003021	-0.00549316	7.94861	3.44917	0
-95.7996	13341	14699	14.9946	47.7795	-2006	6069	1.90704	106.743	1.44084	-71.6309	1.13729	-169.047	0	0.0494385	9.16809	3.98688	0
-95.7496	13342	14704	14.9959	47.7466	-2159	5263	1.69678	111.682	1.16357	-68.4668	1.45543	-167.992	0.0003021	0.0274658	9.86572	4.29611	0
-95.6996	13350	14696	14.9981	47.7521	-1868	5382	1.70807	109.396	1.33636	-73.3337	1.15705	-162.861	0.00025175	0.0219727	8.89893	3.86789	0
-95.6496	13334	14700	14.9941	47.7631	-1514	6202	1.82251	111.374	1.3554	-70.8893	1.18238	-168.289	0.00015105	0.0274658	9.19556	3.99903	0
-95.5996	13347	14700	14.9989	47.7411	-2223	4660	1.58203	113.027	1.22236	-76.9702	1.30878	-159.109	0.00035245	0.0109863	8.12988	3.52889	0
-95.5496	13346	14705	14.9972	47.774	-1854	5178	1.78741	102.651	1.34921	-69.3512	1.14616	-164.795	5.03499e-05	0.0109863	8.28369	3.59658	0
-95.4996	13339	14708	14.9981	47.7795	-1621	6296	1.828	104.387	1.41609	-70.3235	1.1107	-165.344	0	0.0384521	8.57483	3.72486	0
-95.4496	13347	14706	15.0024	47.7521	-2406	4347	1.57196	102.794	1.30471	-62.9352	1.23659	-169.904	0.00025175	0.00549316	7.98706	3.46607	0
-95.3996	13347	14696	14.9972	47.7521	-1409	6110	1.72638	111.346	1.47416	-70.4938	1.09094	-166.805	0.00025175	0.0219727	9.19556	3.99903	0
-95.3496	13346	14700	14.9972	47.7686	-997	5934	1.67053	108.655	1.2126	-73.1085	1.30472	-162.609	0.0001007	0.0219727	8.56934	3.72244	0
-95.2996	13341	14703	14.9959	47.7795	-1800	5982	1.98364	104.431	1.33041	-74.339	1.22823	-162.301	0	0.0494385	8.65173	3.75878	0
-95.2496	13344	14699	14.9976	47.7631	-1026	6432	1.83441	105.315	1.48154	-73.4436	1.11703	-165.547	0.00015105	0.0164795	9.21204	4.00632	0
-95.1996	13346	14698	14.9989	47.7356	-1502	4771	1.56342	115.34	1.27115	-71.7517	1.23152	-162.548	0.000402799	-0.0219727	7.51465	3.25862	0
-95.1496	13343	14703	14.9959	47.7576	-1304	6485	1.72699	108.94	1.38039	-74.2017	1.14388	-162.691	0.0002014	0.0164795	8.62427	3.74666	0
-95.0996	13344	14703	14.9972	47.785	-1169	5894	1.87805	103.87	1.1888	-71.6144	1.31207	-161.098	-5.03499e-05	0.0109863	6.828	2.95789	0
-95.0496	13335	14711	14.9976	47.7905	-1155	5695	1.89911	101.871	1.47631	-74.0094	1.04751	-163.081	-0.0001007	0.0109863	7.7124	3.3454	0
-94.9995	13341	14712	15.0015	47.8015	-347	5544	1.87897	94.4824	1.36992	-78.0084	1.07943	-156.907	-0.0002014	-0.0274658	5.68542	2.45933	0
-94.9495	13344	14707	14.9972	47.774	-1839	5352	1.73584	109.918	1.21855	-74.7345	1.26268	-160.681	5.03499e-05	0.0219727	5.49316	2.37564	0
-94.8995	13344	14705	14.9985	47.7576	-1449	5575	1.65985	108.506	1.35588	-76.1353	1.14413	-160.884	0.0002014	0.0109863	6.2677	2.71313	0
-94.8495	13342	14701	14.9955	47.774	-1457	5674	1.83075	106.089	1.2671	-72.8339	1.2072	-162.263	5.03499e-05	0.0219727	5.19653	2.24663	0
-94.7995	13337	14707	14.9981	47.774	-1057	5697	1.70532	105.958	1.24854	-76.7999	1.20847	-159.714	5.03499e-05	-0.00549316	4.68567	2.02473	0
-94.7495	13334	14704	14.9963	47.7795	-2375	5920	1.92017	105.485	1.23283	-70.3015	1.2799	-165.267	0	0.0494385	5.17456	2.23708	0
-94.6995	13348	14705	15.0024	47.7576	-1222	5093	1.54236	105.002	1.25282	-68.8623	1.17833	-165.679	0.0002014	-0.0109863	3.6969	1.59612	0
-94.6495	13348	14699	14.9955	47.774	-1544	5468	1.80084	106.298	1.26829	-75.0696	1.18973	-160.884	5.03499e-05	0.0219727	3.65295	1.5771	0
-94.5995	13341	14706	14.9989	47.7905	-1544	5468	1.91498	98.1189	1.15715	-66.4398	1.31156	-168.838	-0.0001007	0.0109863	4.00452	1.72935	0
-94.5495	13345	14700	14.9985	47.774	-1207	6491	1.78284	103.425	1.37801	-77.558	1.08932	-160.499	5.03499e-05	0.032959	4.21326	1.81981	0
-94.4995	13342	14699	14.9955	47.7905	-1544	5468	1.9635	102.497	1.29209	-69.2688	1.22063	-166.833	-0.0001007	0.0274658	4.13086	1.7841	0
-94.4495	13347	14701	14.9981	47.774	-1222	5093	1.75262	103.59	1.27258	-79.3872	1.14363	-156.599	5.03499e-05	-0.00549316	2.05994	0.888517	0
